제목,저자_상세,초록,키워드_상세,저자,저널명,발행기관,권,호,시작페이지,종료페이지,발행년도,주제분야,인용횟수,논문ID
한문학 데이터 편찬 교육의 실제 -고려대 한문학과의 &lt;한문학데이터큐레이션&gt; 강의 사례를 중심으로-,유인태,"각 대학의 인문대를 중심으로 기존에는 없던 소위 ‘디지털 기술을 매개한 융합’을 표방하는 새로운 성격의 교과 개설이 근래에 확대되고 있고, 그와 같은 유형의 강의가 소위 ‘디지털 인문학’ 교육으로 명명되는 경우가 늘어나고 있다. 전공 분야를 불문하고 급변하고 있는 대학 인문학 강단이지만, 한편으로 한문학 전공의 경우 본격적인 디지털 인문학 교육을 염두에 두고 교과를 개설한 사례는 여전히 찾아보기가 어려운 상황이다. 여타 인문학 전공 영역과 비교할 때 한문학 전공은 상대적으로 전통적 방식의 텍스트 해독 및 고전에 관한 이해의 비중이 매우 크기 때문에, 아날로그 환경에서 고전 텍스트를 어떻게 다루고 활용할 것인가의 전통적 이해가 여전히 가장 큰 바탕이라 할 수 있다. 디지털 환경이나 데이터 처리 기술을 연구나 교육에 적극적으로 접목하고자 하는 움직임이 극소할 수밖에 없는 현실적 이유라 하겠다.
이러한 상황을 고려할 때 2021년 1학기 고려대학교 한문학과의 학부 전공과목으로 공식 개설된 <한문학데이터큐레이션> 강의는 매우 특수한 성격의 교과에 해당한다. 한문학 자료를 대상으로 한 데이터 처리 기술과 그것을 가능하게 하는 디지털 환경에 대한 이해를, 한문학 전공 학생들에게 전달하고자 개설된 본격 디지털 한문학 교과라 할 수 있기 때문이다. 이 글은 현 시점에서 한문학 전공 기반 디지털 인문학 교과로서 <한문학데이터큐레이션> 강의가 전달하는 시사점을 크게 ‘데이터(무엇을)’와 ‘큐레이션(어떻게)’ 두 요소에 초점을 두고 정리하는 데 집중하였다. 지식을 일방적으로 전달하는 데 치중한 교육이 아니라, 데이터 편찬 과정을 매개로 피교육자와 상호적으로(interactive) 호흡하는 새로운 형식의 한문학 교육이 디지털 환경에서 어떻게 가능한지에 관해 구체적 사례를 통해 논의해보았다.",한문학 교육; 디지털 인문학 교육; 한문학데이터큐레이션; 한문학 데이터; 데이터 큐레이션,유인태,漢文敎育論集,한국한문교육학회,,62,301,332,2024,한국어와문학,1,ART003098636
전자책 추천자의 신뢰도가 전자책 진단성과 구독 의도에 미치는 영향: 큐레이션 지원의 역할,황인호,"전자책과 같은 디지털 기술은 사회 구성원에게 편의성을 강화한 서비스를 제공함으로써, 시장의 선택을 받고 있다. 본 연구는 전자책이 개인 맞춤형 지원에서 사회적 교류 지원까지 확장되고 있음을 고려하여, 전자책 추천자와 큐레이션 역할의 중요성을 밝히고자 하였다. 연구는 전자책 서비스를 이용한 경험이 있는 성인에 조사 방법을 통하여 데이터를 확보하였으며, AMOS 22.0과 Process 3.1을 적용하여 가설을 검정하였다. 가설 분석 결과, 전자책 추천자의 신뢰도가 독자의 전자책 진단성을 통해 구독 의도로 연계되는 메커니즘을 확인하였으며, 전자책 큐레이션 지원이 전자책 진단성과 추천자 신뢰도의 세부 요인과 각각 상호작용 효과를 가져 구독 의도에 영향을 미치는 것을 확인하였다. 연구 결과는 전자책 추천자 신뢰도와 큐레이션의 강화 관점에서 독자의 전자책 플랫폼 선택에 도움을 줄 수 있는 전략적 방안을 제시함으로써, 전자책 플랫폼의 지속적 성장에 기여할 것으로 판단한다.",전자책; 정보원 신뢰도; 큐레이션; 진단성; 구독 의도,황인호,한국콘텐츠학회 논문지,한국콘텐츠학회,24,12,311,323,2024,학제간연구,0,ART003148177
The Effect of Affordance of Online Shopping Chatbot Curation Services on Continuous Usage Intention,김현수; 소효기; 손한,"Purpose: In this paper, we aim to analyze the effects of affordance characteristics of online shopping chatbot curation services on Chinese consumers' social presence and intention to continue using, focusing on the moderating effect of individual innovativeness.
Composition/Logic: In this study, a two-step survey was designed. First, the survey was subdivided through a pre-survey that targeted 40 consumers. Second, this was followed by the primary online survey, conducted from April 12th to April 30th, 2023, which yielded 348 valid responses. The study considered demographic factors and focused on three tiers of cities to control for regional variations. Data analysis was conducted using SPSS and AMOS. The research began with examining demographic characteristics and usage trends, assessed reliability and validity, and concluded with structural equation modeling to validate the direct effects between variables.
Findings: This study explored the intricate relationship between affordances and social presence in online shopping mall chatbot services. The results of the empirical analysis showed that both practical and relational affordances positively affected cognitive and emotional presence. On the other hand, pleasurable affordance had a positive effect only on emotional presence and had no significant impact on cognitive presence. In addition, individual innovativeness was confirmed to be an important moderating variable that can strengthen the relationship between affordance and social presence. This influence is important for understanding continued usage intentions in online shopping mall chatbot services.
Originality/Value: The uniqueness of this study lies in integrating affordance theory with individual innovativeness to explain the ongoing engagement with online shopping chatbots. By demonstrating the moderating effect of individual innovativeness, this research contributes to a more nuanced understanding of user behavior in the rapidly evolving field of online retail technologies.
연구목적: 본 연구에서는 중국 소비자를 대상으로 온라인 쇼핑 챗봇 큐레이션 서비스의 어포던스(Affordance)특성이 소비자의 사회적 현존감과 지속사용의도에 미치는 영향을 개인(사용자) 혁신성에 따른 조절효과를 통해 분석하였다.
논문구성/논리: 본 연구는 2단계의 설문조사를 설계하였는데, 먼저 40명의 소비자를 대상으로 예비조사를 통해 문항을 정제한 후 2023년 4월 12일부터 4월 30일까지 온라인 설문조사를 실시하였다. 이 중 348개의 유효한 응답을 얻었다. 연구대상 지역의 특성을 통제하기 위해 중국 세 개의 도시 계층에 중점을 두고 인구통계학적 요인을 고려했다. SPSS와 AMOS을 이용하여 인구통계학적 특성과 사용 추세의 조사로 시작해 신뢰성과 타당성을 평가하고 변수 간의 직접 효과를 검증하기 위해 구조방정식 모형을 적용하여 분석하였다.
결과: 본 연구는 온라인 쇼핑몰 챗봇 서비스에서 어포던스와 사회적 현존감의 복잡한 관계를 살펴보았다. 실증 분석 결과 실용적 어포던스와 관계적 어포던스 모두 인지적 및 정서적 현존감에 긍정적 영향을 미치는 것으로 나타났다. 반면, 쾌락적 어포던스는 정서적 현존감에만 긍정적인 영향을 미치고 인지적 현존감에는 유의한 영향을 미치지 않았다. 또한, 개인의 혁신성은 어포던스와 사회적 현존감간의 관계를 강화시킬 수 있는 중요한 조절변수임을 확인할 수 있었다. 이러한 영향은 온라인 쇼핑몰 챗봇 서비스에서 지속적인 사용 의도를 이해하는 데 중요하다.
독창성/가치: 본 연구 결과는 온라인 쇼핑 챗봇과의 지속사용의도를 설명하기 위해 실증 분석을 통해 개인의 혁신성과 어포던스 이론을 통합하여 설명한 점에서 학술적 가치가 있다. 개인 혁신성의 조절효과를 입증함으로써 이 연구는 빠르게 변화하는 온라인 리테일 기술 분야에서 사용자 행동을 통한 여러 주목할 만한 시사점을 제공하였다.",Chatbot Curation Service; Affordance; Individual Innovativeness; Social Presence; Continued Intention to Use;챗봇큐레이션서비스;어포던스;개인혁신성;사회적현존감;지속사용의도,김현수,디지털무역리뷰,한국디지털무역연구소,21,3,1,21,2023,무역실무및무역경영,0,ART002996081
디지털 큐레이션을 통한 유교 인물 정보서비스 활성화 방안 연구,최희수,"본고는 국내 대표적인 유교정보서비스들 가운데 특히 유교 인물과 관련된 서비스를 점검해보고, 이를 활성화하기 위한 방안을 마련하기 위함을 목적으로 한다. 국가지식정보자원관리사업 등의 지원으로 구축된 유교정보서비스들은 전통문화유산의 하나인 유교문화를 대표하는 서비스로 자리매김했지만, 그 활용도는 그리 높지 않다. 그것은 각각의 정보들이 고도의 전문적인 정보이면서. 독립적으로 서비스되고 있고, 상호 유기적으로 연결되어 있지 못한데서 기인한다.
성균관대학교, 경상대학교, 충남대학교, 한국국학진흥원 등 각 지역을 대표하는 유교자료의 소장처들은 지난 십수년간 유교문화자원을 디지털화하여 서비스를 제공하고 있다. 그러나 이들은 유교경전이나 유학자들의 문집 등 텍스트를 중심으로 정보를 제공하고 있고, 각 정보들이 단절적으로 제공되어 해당 인물의 사상 형성과정, 정책과 사상과의 연계 등을 파악하기가 곤란하다. 아울러 최근 대두되고 있는 문화유산 활용사업에 필요한 다양한 콘텐츠 발굴과 기획에도 큰 도움을 주지 못하고 있다.
본고는 유교정보서비스 활성화를 위해 기존의 서비스들을 점검하여 문제점을 지적하고, 이를 바탕으로 디지털 큐레이션을 활용한 활성화 방안을 제시하였다. 이는 유교 인물과 관련된 정보들을 각각의 관계망 속에서 유기적으로 파악할 수 있도록 구조화시키는 것을 포함하며, 특히 유교 인물정보 서비스에 있어서 시각화를 통한 다양한 맥락에서의 자료 제공과 전자지도를 활용하도록 하여 유교 인물정보의 활성화 방안을 제시하였다. 이를 통해 기존의 유교 인물관련 연구의 활성화와 지역문화 소재의 발굴, 다양한 콘텐츠 기획, 활용이 가능해질 것으로 기대한다.본고는 국내 대표적인 유교정보서비스들 가운데 특히 유교 인물과 관련된 서비스를 점검해보고, 이를 활성화하기 위한 방안을 마련하기 위함을 목적으로 한다. 국가지식정보자원관리사업 등의 지원으로 구축된 유교정보서비스들은 전통문화유산의 하나인 유교문화를 대표하는 서비스로 자리매김했지만, 그 활용도는 그리 높지 않다. 그것은 각각의 정보들이 고도의 전문적인 정보이면서. 독립적으로 서비스되고 있고, 상호 유기적으로 연결되어 있지 못한데서 기인한다.
성균관대학교, 경상대학교, 충남대학교, 한국국학진흥원 등 각 지역을 대표하는 유교자료의 소장처들은 지난 십수년간 유교문화자원을 디지털화하여 서비스를 제공하고 있다. 그러나 이들은 유교경전이나 유학자들의 문집 등 텍스트를 중심으로 정보를 제공하고 있고, 각 정보들이 단절적으로 제공되어 해당 인물의 사상 형성과정, 정책과 사상과의 연계 등을 파악하기가 곤란하다. 아울러 최근 대두되고 있는 문화유산 활용사업에 필요한 다양한 콘텐츠 발굴과 기획에도 큰 도움을 주지 못하고 있다.
본고는 유교정보서비스 활성화를 위해 기존의 서비스들을 점검하여 문제점을 지적하고, 이를 바탕으로 디지털 큐레이션을 활용한 활성화 방안을 제시하였다. 이는 유교 인물과 관련된 정보들을 각각의 관계망 속에서 유기적으로 파악할 수 있도록 구조화시키는 것을 포함하며, 특히 유교 인물정보 서비스에 있어서 시각화를 통한 다양한 맥락에서의 자료 제공과 전자지도를 활용하도록 하여 유교 인물정보의 활성화 방안을 제시하였다. 이를 통해 기존의 유교 인물관련 연구의 활성화와 지역문화 소재의 발굴, 다양한 콘텐츠 기획, 활용이 가능해질 것으로 기대한다.",디지털 큐레이션; 유교인물정보; 관계망; 시각화; 전자지도,최희수,유학연구,유학연구소,50,,401,425,2020,철학,3,ART002558975
다문화학생을 위한 교수학습자료의 디지털 큐레이션 적용방안,박은경; 위현미,"다문화학생 밀집지역의 공립 초등학교에서 다문화학생들은 한국어 능력의 부족으로 수업을 이해하는데 어려움이 많다. 교사들이 생산한 다문화 교수학습자료는 관리나 재사용되지 못하고 개별적으로 보관하고 있는 실정이다. 이에 본 연구는 다문화수업의 학습효과를 높이고 자료의 체계적인 관리와 이용을 위하여 디지털 큐레이션을 다문화 교수학습자료에 적용하여 저장, 이용, 공유할 수 있는 플랫폼으로 연계하는 방안을 제안하였다. 연구 대상은 경기도교육청 다문화국제혁신학교인 A시의 B초등학교이다. 다문화학생을 위한 교수학습자료에 디지털 큐레이션을 적용하는 과정을 교수학습자료의 수집, 정리 및 선별, 주제 범주화, 하위주제 설계, 플랫폼 연계 방안으로 분석하였다. 디지털 큐레이션 적용 시 고려할 현실적 쟁점과 정책방안도 제안하였다.",다문화교육; 디지털 큐레이션; 교수학습자료; 범주화; 한국어수업,위현미,한국문헌정보학회지,한국문헌정보학회,57,2,5,30,2023,문헌정보학,0,ART002961270
동시출현단어분석을 활용한 디지털 큐레이션 연구 주제 분석,최상희,"이 연구는 디지털 큐레이션의 연구 주제분야를 파악하기 위하여 KISTI의Science On에서 해외학술 논문 1,073건을 수집, 분석하여 디지털 큐레이션 관련논문이 게재되고 있는 학술지 현황을 조사하였다. 또한 영향력이 있는 46종의 주제어를 선정하여 PFNet과 PNNC 알고리즘으로 중심성을 분석하고 주제간 관계를시각화하였다. 그 결과 7개의 주요 주제 군집이 도출되었고 주요 주제 개념이 분석되었다. 가장 큰 군집은 ‘Data’ 군집으로, 전역중심성과 지역중심성이 높은 ‘Data’가가장 큰 주제 영역을 형성하는 핵심개념인 것으로 분석되었다.",디지털 큐레이션; 동시출현단어; 패스파인더 네트워크(PFNet); 병렬 최근접 이웃 클러스터링(PNNC); 네트워크 분석,최상희,인문과학연구논총,인문과학연구소,44,1,149,175,2023,기타인문학,3,ART002939323
큐레이션이 적용된 문화예술 구독서비스가 문화소비에 미치는 영향,박주연,본 연구의 목적은 큐레이션이 적용된 문화예술 구독서비스가 문화소비에 미치는 영향력을 밝히는 것이다. 이에 서울 및 경기 소재 대학교에 재학 중인 학생 101명을 대상으로 설문조사를 실시하였으며 회귀분석과 t-test를 차례로 실시하였다. 분석결과 큐레이션 기능을 활용했을 때 새로운 문화 경험에 긍정적인 영향을 미쳤으며 양적으로 더 많은 문화를 소비하는 것으로 나타났다. 그러나 문화소비 다양성에는 유의한 영향이 미치지 않았으며 예외적으로 사회경제적 계층이 높은 경우 다양한 문화를 소비하는 것으로 나타났다. 마지막으로 큐레이션 기능을 활용했을 때 취향의 확장에 긍정적인 영향이 미쳤고 특히 음악에 비해 영화에서 이러한 경향이 더 두드러지는 것으로 나타났다. 이러한 결과는 구독서비스가 잠재적 관객 확보를 위한 진입점이 될 수 있으며 더불어 문화소비 격차를 완화시킬 수 있음을 시사한다.,큐레이션; 구독서비스; 구독경제; 알고리즘; 문화소비; 옴니보어,박주연,문화산업연구,한국문화산업학회,23,3,15,24,2023,문화예술경영,1,ART003005218
음악 스트리밍 앱의 음악 큐레이션을 위한 인터페이스 사용성 디자인 연구,조한익; 한숙현,"다양한 음악재생 어플리케이션과 초고속 인터넷의 등장으로 스트리밍 서비스 시장이 급성장하게 되면서 사용자는 보다 쉽고 개인적 취향에 맞는 음원 콘텐츠를 추천하고 기술하는 검색기능이 요구되고 있다. 적절한 콘텐츠 선별과 추천으로 사용자의 만족도를 높이기 위한 감성 분석 및 개인화 맞춤 추천에 대한 다양한 연구 못지않게 사용자의 인터페이스 사용성을 높이기 위한 분석 및 평가 요인에 대한 연구가 요구된다.
본 연구에서는 음악 스트리밍 이용 순위가 높은 ‘멜론’, ‘유튜브 뮤직’, ‘지니뮤직’을 대상으로 선정하여 음악 큐레이션 인터페이스를 중심으로 사용성을 평가하였다. 사용성 평가를 위해 온/오프라인으로 설문조사를 진행하였으며, 20대 대학생 총 53명의 응답을 통해 5점 척도를 기준으로 평가요인별 사용성을 평가하였다. 그 결과 첫째로는 음악 큐레이션의 검색 기능의 강화를 위해 주요 정보요소인 타이포그래피의 차별화 요소를 강화가 필요하며, 둘째, 그래픽이미지의 크기 변화와 색상을 통해 판독성을 높여 조작이 용이하도록 디자인 되어야 한다. 셋째, 음악 큐레이션 서비스의 접근성을 높이기 위해 감성적 차별화 전략이 요구된다. 효과적인 음악 큐레이션을 위해 감성적 디자인과 정보구조나 그래픽 요소에 대한 인터페이스 디자인의 재검토 및 최적화가 필요하다 할 수 있다. 향후 본 연구가 음악 큐레이션 서비스의 인터페이스의 사용성을 높이는 디자인 개선에 도움을 되기를 기대해본다.",음악 큐레이션; 음악 스트리밍; 모바일 인터페이스 디자인,한숙현,일러스트레이션 포럼,한국일러스트레이션학회,24,74,71,80,2023,디자인,1,ART002950242
디지털 큐레이션 연구동향 분석과 과제: 문헌정보학 분야를 중심으로,김판준,"디지털 큐레이션은 디지털 시대의 새로운 정보관리 및 서비스라고 할 수 있다. 디지털 환경에서 정보자원에 대한 체계적 관리 및 서비스를 추구한다는 측면에서 디지털 큐레이션은 문헌정보학의 핵심 영역에 해당한다. 본 연구는 디지털 큐레이션 관련 문헌들을 검토하여 주요 연구 영역을 설정하고, 대표적인 문헌정보학 분야 학술 데이터베이스(LISTA)에서 검색한 학술 논문들을 대상으로 연구동향을 분석하였다. 또한 이러한 연구동향 분석의 결과에 기초하여 문헌정보학 분야의 디지털 큐레이션 관련 향후 연구과제를 제시하였다.",디지털 큐레이션; 정보관리 및 서비스; 정보서비스; 문화유산; 기관; 지적구조 분석; 연구동향; 연구과제,김판준,정보관리학회지,한국정보관리학회,32,1,265,295,2015,문헌정보학,32,ART001974041
큐레이션 커머스의 서비스 특성과 세렌디피티 속성의 관계 몰입 효과에 관한 연구,김종욱,"본 연구는 큐레이션 커머스의 서비스 특성과 세렌디피티 속성의 관계 몰입 효과를 실증 분석하기 위해 설문조사에 의한 양적 연구를 실시하였다. 자료는 큐레이션 커머스에서 구매 경험이 있는 20대와 30대의 소비자를 대상으로수집하였고, SPSS 통계 프로그램을 이용하여 분석하였다. 연구 결과, 큐레이션 커머스의 서비스 특성은 정확성, 편의성, 전문성, 정보성으로 분류되었고, 서비스의 정확성과 정보성이 관계 몰입에 정적인 영향을 미치고 있었다. 편의성과 전문성은 계산적 몰입에 정적인 영향을 미치고 있었으며, 큐레이션 커머스에서 관계 몰입을 높이기 위해서는 서비스가 중요한 요인으로 작용하고 있었다. 세렌디피티 속성은 참신성과 우연성으로 구분되었으며, 이들 속성은 정서적 몰입과 계산적 몰입에 정적인 영향을 미치고 있었다. 또한, 관계 몰입은 지속 이용의도와 반복 구매의도에 정적인 영향을 미치고있어 장기적인 관계지향성을 높이는 것으로 나타났다. 이러한 결과는 큐레이션 커머스에서 고객과의 관계를 강화하고효율적으로 관리할 수 있는 서비스 속성을 제시하고, 장기적인 관점에서 관계 구축을 위한 전략적 방안에 활용될 것으로기대된다.",Curation Commerce; Service Characteristics; Serendipity Attributes; Relationship Commitment; Relationship Orientation,김종욱,한국산학기술학회논문지,한국산학기술학회,25,12,518,527,2024,공학일반,0,ART003154647
공연예술 디지털 큐레이션 플랫폼의 발전 방향에 관한 연구 : 국립중앙극장 공연예술 아카이브 플랫폼 ‘별별스테이지’를 중심으로+,주선영,"본 연구는 국립중앙극장 공연예술박물관에서 운영하는 공연예술 아카이브 플랫폼 ‘별별스테이지’를 공연예술의 특성이 반영된 아카이브 웹서비스로 개선하는데 목적이 있다.
이를 위해 공연예술박물관의 소장기록물과 축적된 정보자원의 현황을 살펴보고 ‘별별스테이지’의 문제점을 도출하였다. 이후 웹사이트의 개선을 위해 문헌 연구에서 도출한디지털 큐레이션 전략을 ‘별별스테이지’에 적용하였으며 공연예술 특성에 맞도록 관계시각화와 기록물 연계 서비스 방안을 고안하였다. 공연예술을 중심으로 운영되는 다양한아카이브 웹서비스를 이용하는 이용자의 유연성과 사용 편리성을 고려하여 제안하였다.",공연예술; 아카이브; 디지털 큐레이션; 아카이브 플랫폼; ‘별별스테이지’,주선영,무용역사기록학,무용역사기록학회,73,,3,19,2024,무용,0,ART003103239
New propositions for Strategic Knowledge Curation,"강형구; 배경훈; 한병석; 한병석
							

							1","How to acquire and to produce important information is critical. How to manage knowledge is also a significant topic in social science. Recently, as the amount of information has exploded, it becomes more important how to organize existing information and to turn much information into valuable knowledge. Furthermore, it is crucial for people to select the right information for themselves. In other words, in the vast ocean of information, we must be able to gather and classify useful information.
Knowledge curation, as a management process of reorganization of information, is a promising strategy. Knowledge curation is an interesting concept. Curation originally meant the selection and care of objects to be shown in a museum, but now is used as a reorganization of the information. Knowledge curation services have grown due to both demand and supply factors. From the demand side, as there are too many choice alternatives about contents, the demand for contents curation increases. Contrary to common sense, too many choice alternatives can reduce the utility of consumers. From the supply side, as the cost of contents decreases, curation becomes cheaper. In addition, big data technologies make it possible to offer customized knowledge curation to consumers.
However, existing knowledge management literature has not clearly incorporated this new concept yet. In this paper, we suggest a novel framework for knowledge curation in line with existing knowledge management literature. To our knowledge, this is the first paper to catalog knowledge curation on its goals and processes. This paper will make this emergent concept more useful and in turn, contribute to the body of knowledge management literature.
We classify knowledge curation based on its process and its orientation. This classification yields four approaches to knowledge curation: news approach, museum approach, networking approach and open innovation approach. Four types of knowledge curation are summarized as below. When knowledge curation is to communicate existing knowledge in unilateral direction, it becomes the news approach. When it is to communicate existing knowledge through multilateral flow, it becomes the networking approach. When the goal of knowledge curation is creating new knowledge through unilateral information flow, the museum approach emerges. Lastly, when knowledge curation aims to create new knowledge through multilateral interactions between participants, it is the open innovation approach.
And we suggest required roles for knowledge curator according to each approach. The news approach requires curators to become lecturer, the museum approach does researcher, the network approach does moderator, and the open innovation approach does innovation manager.
Also, we suggest how to implement knowledge curation successfully. The suggested process describes the generic process that can be applied to all models of knowledge curation. It is desirable to repeat this procedure until the marginal cost of the procedure iteration is greater than the marginal utility. Future research can enrich this research with further qualitative and quantitative analysis.
정보를 획득하고 관리하는 것은 매우 중요한 경영학 연구 주제이다. 이미 사회과학의 많은 영역에서 정보의 획득과 관리에 대해 심도 깊게 다루고 있다. 최근에는 다루어야 할 정보의 양이 폭발적으로 늘어남에 따라 기존 정보를 재구성하고 이를 가치 있는 지식(knowledge)으로 바꾸는 것이 더욱 중요해지고 있다. 따라서 방대한 정보의 바다에서 유용한 정보를 수집하고 분류하기 위한 효과적인 정보 관리방안으로서 지식큐레이션(knowledge curation)의 필요성이 부각되고 있다. 큐레이션 (Curation)은 원래 박물관에서의 미술품 선택과 관리를 의미했지만, 이제는 정보의 재구성이라는 개념으로 확장되어 사용되고 있기 때문이다. 지식큐레이션에 대한 서비스는 수요 및 공급 양쪽의 측면에서 증가하고 있다. 수요 측면에서는 기존 정보에 대한 선택 대안이 너무 많아 큐레이션에 대한 수요가 증가하고 있다. 너무 많은 선택 대안은 소비자의 유용성을 감소시킬 수 있기 때문이다. 공급 측면에서, 정보를 다루는 비용이 감소함에 따라 지식큐레이션을 더욱 합리적인 비용으로 제공할 수 있다는 점에서 서비스가 확대되고 있다. 빅데이터 기술 등과 같이 소비자에게 맞춤형 지식큐레이션을 제공할 수 있는 기술의 진보가 뒷받침되고 있기 기 때문이다.
그러나 지식관리에 관한 기존의 연구문헌은 새롭고 떠오르고 있는 지식큐레이션의 개념을 충분히 다루고 있지 못하다. 기존 지식 관리 문헌은 확장되고 있는 새로운 개념을 명확하게 정의하고 있지 못하기 때문이다. 이러한 문제를 해결하기 위해 본고는 지식큐레이션에 대한 새로운 프레임워크를 제시하고자 한다. 본고에서는 지식큐레이션을 그 목적과 진행과정으로 분류하였다. 이러한 분류방법에 따라 지식큐레이션은 네 가지로 세분화할 수 있다. 즉, 뉴스 접근법(News Approach), 박물관 접근법(Museum Approach), 네트워킹 접근법(Networking Approach) 및 개방형 혁신 접근법(Open-Innovation Apporach)이다.
구체적으로 뉴스접근법은 지식큐레이터가 기존 지식을 일방적인 방향으로 전달하는 것이며, 다각적 흐름을 통해 기존 지식을 전달하는 것은 네트워킹 접근법이 된다. 한편, 지식큐레이터의 목표가 일방적인 정보 흐름을 통해 새로운 지식을 창출하는 것이면 박물관 접근법으로 분류할 수 있고, 지식 큐레이터가 참여자 간의 다각적인 상호 작용을 통해 새로운 지식을 창출하는 것을 목표로 할 때는 개방적인 혁신 접근법으로 구분할 수 있다.
또한, 본고는 지식큐레이션의 각 분류에 따라 큐레이터와 참여자들이 어떻게 특징 지어지는지도 설명하고 있다. 각각의 접근법은 강사(Lecturer), 연구자(Researcher), 조정자(Moderator) 및 혁신 관리자(Innovator)와 같은 서로 다른 역할로 설명할 수 있다. 뉴스 접근법은 큐레이터가 강사로서의 역할을 담당할 것을 요구하고, 박물관 접근은 연구자로서의 역할을 기대하고 있다. 그리고 네트워킹 접근법은 지식 큐레이터에게 중재자로서의 역할을, 개방형 혁신 접근법은 혁신적인 관리자로서의 역할로 분류할 수 있다. 한편, 본고에서는 지식 큐레이션을 성공적으로 구현하기 위한 실무적인 방법론도 제시고하고 있다. 제안된 방법론은 앞서 설명한 네 가지 지식큐레이션 접근법에 모두 적용할 수 있는 일반적인 프로세스라는 점에서도 의의가 있다.
본고는 지식큐레이션의 목적과 실행방법에 대한 방안을 구체화한 첫 번째 연구라는 점에서 의의가 있다. 또한 본 연구는 새로운 개념인 지식큐레이션을 보다 효과적으로 활용할 수 있도록 근거를 제시하고, 기존연구문헌의 한계를 보완한다는 점에서도 학술적 의의가 있다. 그러나 각 접근법에 대한 구체적인 실행방법론에 대해서는 연구목적상 차기 연구주제로 다루고자 한다. 모쪼록 본고를 계기로 지식큐레이션에 대한 다양한 논의가 활발히 진행되기를 고대해 본다.",knowledge curation; knowledge management; organizational learning; knowledge based view; open innovation; architectural knowledge;지식큐레이션(knowledgecuration);지식관리;정보관리;큐레이션,한병석,유라시아연구,아시아.유럽미래학회,16,2,23,42,2019,기타사회과학,0,ART002478985
의료 빅데이터 큐레이션 재직자 전문인력 양성 프로그램 개발 및 실행에 관한 연구,강성홍; 김근균; 김예은; 이희제; 최지연,"보건의료데이터 큐레이션은 양질의 데이터를 확보하고 데이터의 활용 가치를 극대화하는 방법론으로 보건의료데이터 수요가 증가함에 따라 그 중요성이 강조되고 있다. 이에 본 연구는 강원도를 중심으로 의료 빅데이터 큐레이션 전문인력을 양성하기 위한 교육 프로그램을 2023년 9월부터 2024년 2월까지 개발하고 실행하였다. 교육 프로그램은 ADDIE 모델을 적용하여 설계되었으며, 교육 요구사항과 수행 능력을 고려하여 구성되었다. 강원지역 보건의료정보관리사와 관련 학과 교수를 대상으로 한 교육 요구사항 조사 결과, 데이터 구축, 분석, 활용, 보안 등 네 가지 영역에서 교육 요구가 높게 나타났고, 생성형 AI를 활용한 교육 요구가 전문가 자문을 통해 도출되었다. 이를 바탕으로 온라인 이론·실습 교육과 방문교육, 실습보고회를 통해 보건의료데이터 큐레이션에 필요한 지식과 기술을 습득할 수 있도록 교육 프로그램을 실행하였다. 교육 프로그램의 실행 결과, 교육생의 78.2%가 자격시험을 통과하였으며, 교육 프로그램에 대한 만족도 조사에서 5점 만점에 4.34점의 평가를 받았다. 본 연구는 보건의료데이터 큐레이션의 중요성을 강조하며, 지속적인 프로그램 개선과 최신 기술을 반영한 교육 콘텐츠 개발의 필요성을 제안한다.",Medical Big Data Curation; Health Data Curation; Health Information Management; Generative AI; Educational Program Development,김근균,한국산학기술학회논문지,한국산학기술학회,25,9,797,805,2024,공학일반,0,ART003120869
